staged_at,source_subcategory,source_city,source_location,source_mode,source_search_query,is_incomplete,is_permanently_closed,dedup_key,title,category,address,complete_address,plus_code,latitude,longitude,phone,website,open_hours,review_rating,review_count,place_id,cid,data_id,status,thumbnail,images,price_range,emails,link
2026-08-20T17:05:51.207Z,Hospital,gulbarga,Gulbarga,area,Hospital in Gulbarga,false,false,0x3bc8c7571f41148f:0xa6a5577b0b5e22b4,Aditya Multispeciality Hospital,,"District Science Centre, Near, Tank Bund Rd, Halbarga, Brhampur, Kalaburagi, Karnataka 585103, India","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",7J9R8RMJ+F3,17.333735,76.830248,+918472222097,http://amhcare.in/,"{""Thursday"":[""Open 24 hours""]}",3.800000,0,,,0x3bc8c7571f41148f:0xa6a5577b0b5e22b4,,,null,,,
2026-08-20T17:05:51.207Z,Hospital,gulbarga,Gulbarga,area,Hospital in Gulbarga,false,false,0x3bc8c74da9db9bd1:0xcfd78c639e51f3b3,Gulbarga Institute of Medical Sciences Hospital,,"New Building Gulbarga District Hospital Adjacent to SP Office, District Hospital Campus, Sedam Rd, Kalaburagi, Karnataka 585105, India","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",7J9R8RHQ+RX,17.329603,76.839929,+919448281614,https://gimsgulbarga.karnataka.gov.in/english,"{""Thursday"":[""Open 24 hours""]}",3.300000,0,,,0x3bc8c74da9db9bd1:0xcfd78c639e51f3b3,,,null,,,
2026-08-20T17:05:51.207Z,Hospital,gulbarga,Gulbarga,area,Hospital in Gulbarga,false,false,0x3bc8c74c50ec81d1:0xe3e008561bd627b,District Government Hospital Gulbarga,,"Kuvempu Nagar, Kalaburagi, Karnataka 585105, India","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",7J9R8RHR+F7,17.328685,76.840743,,,"{""Thursday"":[""Open 24 hours""]}",3.600000,0,,,0x3bc8c74c50ec81d1:0xe3e008561bd627b,,,null,,,
2026-08-20T17:05:51.207Z,Hospital,gulbarga,Gulbarga,area,Hospital in Gulbarga,false,false,0x3bc8c0ab48558f31:0x4df59d498a6f0652,"Chirayu Multispeciality Hospital, Gulbarga I Best Hospital in Gulbarga",,"8RCH+WCW, Court Rd, Opp Gescom Office, Revansiddeshwar Colony, Khuba Plot, Brhampur, Kalaburagi, Karnataka 585102, India","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",7J9R8RFH+9R,17.323390,76.829621,+918472241717,http://chirayucare.com/,"{""Thursday"":[""Open 24 hours""]}",4.300000,0,,,0x3bc8c0ab48558f31:0x4df59d498a6f0652,,,null,,,
2026-08-20T17:05:51.207Z,Hospital,gulbarga,Gulbarga,area,Hospital in Gulbarga,false,false,0x3bc8c0aa6c8ea84d:0xf196ca8ebe1e421d,United Hospital Gulbarga,,"opp. Siddharth Law College, near Sardar Vallabhbhai Patel Chowk, Nagargum, Kalaburagi, Karnataka 585102, India","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",7J9R8RCG+8Q,17.320768,76.826941,+918472255006,,"{""Thursday"":[""Open 24 hours""]}",4.800000,0,,,0x3bc8c0aa6c8ea84d:0xf196ca8ebe1e421d,,,null,,,
2026-08-20T17:05:51.207Z,Hospital,gulbarga,Gulbarga,area,Hospital in Gulbarga,false,false,0x3bc8c7461bd5e377:0x663a21a15be108b0,Medicare Multispeciality Hospital,,"Dargah Rd, Bapu Nagar, Maktampura, Kalaburagi, Karnataka 585101, India","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",7J9R8RPV+VM,17.337214,76.844125,+918472262524,,"{""Thursday"":[""Open 24 hours""]}",3.200000,0,,,0x3bc8c7461bd5e377:0x663a21a15be108b0,,,null,,,
2026-08-20T17:05:51.207Z,Hospital,gulbarga,Gulbarga,area,Hospital in Gulbarga,false,false,0x3bc8bf54e3c4192b:0x7b7f38ea4e43ca93,Sunrise Multispeciality Hospital Kalaburagi | Gulbarga,,"MSK Mill Rd, Vasanth Nagar, Nagargum, Kalaburagi, Karnataka 585102, India","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",7J9R8RCF+X5,17.322411,76.822888,+918296894908,http://www.sunrisehospitalgulbarga.com/,"{""Thursday"":[""Open 24 hours""]}",4.700000,0,,,0x3bc8bf54e3c4192b:0x7b7f38ea4e43ca93,,,null,,,
2026-08-20T17:05:51.207Z,Hospital,gulbarga,Gulbarga,area,Hospital in Gulbarga,false,false,0x3bc8c716e5cba4ed:0xe0094bdb8132b73e,ASM SUPER SPECIALITY HOSPITAL,,"Sedam Rd, Cross, Rajapur, Kalaburagi, Karnataka 585105, India","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",7J9R8RHX+95,17.328497,76.847910,+919739030000,,"{""Thursday"":[""Open 24 hours""]}",2.900000,0,,,0x3bc8c716e5cba4ed:0xe0094bdb8132b73e,,,null,,,
2026-08-20T17:05:51.207Z,Hospital,gulbarga,Gulbarga,area,Hospital in Gulbarga,false,false,0x3bc8b8ac31894599:0x5be569f16144067,Jeevan Jyoti Hospital,,"172, KHB Colony, Shanti Nagar, Kalaburagi, Karnataka 585103, India","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",7J9R8RH9+G3,17.328804,76.817642,+916364808028,http://jjhospitalgulbarga.in/,"{""Thursday"":[""Open 24 hours""]}",4.600000,0,,,0x3bc8b8ac31894599:0x5be569f16144067,,,null,,,
2026-08-20T17:05:51.207Z,Hospital,gulbarga,Gulbarga,area,Hospital in Gulbarga,false,false,0x3bc8b93d51171da7:0xd25693986c7abc64,Metro Plus Hospital,,"Plot no 42, MSK Mill Rd, near Central Bus stand, GDA Layout, CIB Colony, Kalaburagi, Karnataka 585103, India","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",7J9R8RH8+8G,17.328268,76.816357,,,"{""Thursday"":[""Open 24 hours""]}",4.200000,0,,,0x3bc8b93d51171da7:0xd25693986c7abc64,,,null,,,
2026-08-20T17:05:51.207Z,Hospital,gulbarga,Gulbarga,area,Hospital in Gulbarga,false,false,0x3bc8bf55e42d4715:0xb40cdf08840efd97,Sadbhava Hospital Gulbarga,,"5, Old Jewargi Rd, opp. Muddi Hanuman Temple Underbridge, Shastri Nagar, Kalaburagi, Karnataka 585102, India","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",7J9R8R8C+G2,17.316319,76.820093,+918472243555,http://www.sadbhavahospital.com/,"{""Thursday"":[""8 AM–8 PM""]}",4.600000,0,,,0x3bc8bf55e42d4715:0xb40cdf08840efd97,,,null,,,
2026-08-20T17:05:51.207Z,Hospital,gulbarga,Gulbarga,area,Hospital in Gulbarga,false,false,0x3bc8c712aab151c1:0x4ed721fb14c67848,MANUR MULTI SPECIALITY HOSPITAL,,"72 BAREY HILLS CIRLE, Ring Rd, Kalaburagi, Karnataka 585105, India","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",7J9R8VM5+F9,17.333745,76.858422,+917204947892,http://manurhospital.in/,"{""Thursday"":[""Open 24 hours""]}",4.600000,0,,,0x3bc8c712aab151c1:0x4ed721fb14c67848,,,null,,,
2026-08-20T17:05:51.207Z,Hospital,gulbarga,Gulbarga,area,Hospital in Gulbarga,false,false,0x3bc8bfe7d96da743:0xea2c1856bd431e14,Bilva Hospital,,"8R67+HXW, New Jewargi Rd, beside Amba Bhavani Temple, Santosh Colony, Kalaburagi, Karnataka 585102, India","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",7J9R8R67+HX,17.311479,76.814954,+918762154447,http://www.bilvahospital.in/,"{""Thursday"":[""Open 24 hours""]}",4.800000,0,,,0x3bc8bfe7d96da743:0xea2c1856bd431e14,,,null,,,
2026-08-20T17:05:51.207Z,Hospital,gulbarga,Gulbarga,area,Hospital in Gulbarga,false,false,0x3bc8bfe68e59d351:0xe856847f3bd4431,Jeevaa Super Speciality | Hospital in Gulbarga (Kalaburagi),,"29, 30, No 1-891/71/1/28, New Jewargi Rd, near Shangri-La Apartment (Varghese Apartment, Santosh Colony, Kalaburagi, Karnataka 585102, India","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",7J9R8R67+8M,17.310832,76.814213,+919380739005,,"{""Thursday"":[""Open 24 hours""]}",4.900000,0,,,0x3bc8bfe68e59d351:0xe856847f3bd4431,,,null,,,
2026-08-20T17:05:51.207Z,Hospital,gulbarga,Gulbarga,area,Hospital in Gulbarga,false,false,0x3bc8c128d1042caf:0x8b633d5bd46590e6,Ved Multispeciality Hospital,,"Arihant Towers, No. 2-910/59/3/6, Sedam Rd, Tilak Nagar, Kusnoor, Kalaburagi, Karnataka 585105, India","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",7J9R8VF7+Q4,17.324449,76.862847,+916362247149,http://www.vedmultispecialityhospital.com/,"{""Thursday"":[""Open 24 hours""]}",5.000000,0,,,0x3bc8c128d1042caf:0x8b633d5bd46590e6,,,null,,,
2026-08-20T17:05:51.207Z,Hospital,gulbarga,Gulbarga,area,Hospital in Gulbarga,false,false,0x3bc8b90063ca1855:0x34b789506ab58a57,NK HOSPITAL,,"NK Nagar, Ring Rd, Cross, Jaferabad, Kalaburagi, Karnataka 585103, India","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",7J9R8RX5+PV,17.349313,76.809625,+919901573323,http://nkhospital.com/,"{""Thursday"":[""Open 24 hours""]}",4.900000,0,,,0x3bc8b90063ca1855:0x34b789506ab58a57,,,null,,,
2026-08-20T17:05:51.207Z,Hospital,gulbarga,Gulbarga,area,Hospital in Gulbarga,false,false,0x3bc8c780d49dfabf:0xee6aa3a6896ad176,Asian Superspeciality Hospital,,"Ring Rd, Millat Nagar, Kapnoor, Kalaburagi, Karnataka 585104, India","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",7J9R9V53+HP,17.358942,76.854307,+919606496370,https://asianhospitals.in/,"{""Thursday"":[""Open 24 hours""]}",4.600000,0,,,0x3bc8c780d49dfabf:0xee6aa3a6896ad176,,,null,,,
